seed,method,split,instance,delta_kind,num_ops,size_bucket,objective,initial_objective,best_known,final_gap,primal_integral,rounds,improving_rounds,repair_improvement
1,fixed_late_jobs_40,i8_r2_s0.5,0,base,225,medium,713,713.0,713,0.0,0.014919639678869842,29,0,0
1,fixed_late_jobs_40,i8_r2_s0.5,1,duration_jitter,225,medium,731,731.0,720,0.015277777777777777,0.08090974521557656,17,0,0
1,fixed_late_jobs_40,i8_r2_s0.5,2,cancellation,210,medium,711,711.0,705,0.00851063829787234,0.015930159975987606,85,0,0
1,fixed_late_jobs_40,i8_r2_s0.5,3,cancellation,195,medium,671,671.0,667,0.005997001499250375,0.01871301865507901,96,0,0
1,fixed_late_jobs_40,i8_r2_s0.5,4,arrival,210,medium,687,687.0,675,0.017777777777777778,0.029298728812753243,84,0,0
1,fixed_outage_window_40,i8_r2_s0.5,0,base,225,medium,713,713.0,713,0.0,0.014957687751873169,53,0,0
1,fixed_outage_window_40,i8_r2_s0.5,1,duration_jitter,225,medium,731,731.0,720,0.015277777777777777,0.08034910689989282,62,0,0
1,fixed_outage_window_40,i8_r2_s0.5,2,cancellation,210,medium,711,711.0,705,0.00851063829787234,0.015892007954122253,64,0,0
1,fixed_outage_window_40,i8_r2_s0.5,3,cancellation,195,medium,671,671.0,667,0.005997001499250375,0.018788473573891202,76,0,0
1,fixed_outage_window_40,i8_r2_s0.5,4,arrival,210,medium,687,687.0,675,0.017777777777777778,0.02940216207324044,62,0,0
1,fixed_random_40,i6_r4_s0.5,0,base,225,medium,713,713.0,713,0.0,0.014908576413886529,109,0,0
1,fixed_random_40,i6_r4_s0.5,1,duration_jitter,225,medium,733,733.0,720,0.018055555555555554,0.08174023752685672,110,0,0
1,fixed_random_40,i6_r4_s0.5,2,cancellation,210,medium,711,713.0,705,0.00851063829787234,0.016944127514630605,131,1,2
1,fixed_random_40,i6_r4_s0.5,3,cancellation,195,medium,667,667.0,667,0.0,0.007824078693369303,154,0,0
1,fixed_random_40,i6_r4_s0.5,4,arrival,210,medium,680,680.0,675,0.007407407407407408,0.028845983030451272,128,0,0
1,fixed_delta_40,i6_r4_s0.5,0,base,225,medium,713,713.0,713,0.0,0.014897222701916638,109,0,0
1,fixed_delta_40,i6_r4_s0.5,1,duration_jitter,225,medium,733,733.0,720,0.018055555555555554,0.0817416458689533,113,0,0
1,fixed_delta_40,i6_r4_s0.5,2,cancellation,210,medium,711,713.0,705,0.00851063829787234,0.01692065521015814,127,1,2
1,fixed_delta_40,i6_r4_s0.5,3,cancellation,195,medium,672,672.0,667,0.0074962518740629685,0.013597007757339028,151,0,0
1,fixed_delta_40,i6_r4_s0.5,4,arrival,210,medium,686,686.0,675,0.016296296296296295,0.03494714069127159,141,0,0
1,fixed_critical_40,i6_r4_s0.5,0,base,225,medium,713,713.0,713,0.0,0.014998479877535073,104,0,0
1,fixed_critical_40,i6_r4_s0.5,1,duration_jitter,225,medium,732,733.0,720,0.016666666666666666,0.08090526949336185,109,1,1
1,fixed_critical_40,i6_r4_s0.5,2,cancellation,210,medium,712,712.0,705,0.009929078014184398,0.01641155462778101,132,0,0
