method,split,delta_kind,mean_pi,mean_final_gap,wins
fixed_random_40,i8_r2_s0.5,duration_jitter,0.05404831999638546,0.009306075738660007,1
fixed_delta_40,i6_r4_s1,duration_jitter,0.05431439876861611,0.02120593856444876,0
fixed_bottleneck_40,i8_r2_s0.5,duration_jitter,0.05494070274027959,0.01606652949245542,1
fixed_critical_block_40,i6_r4_s0.5,duration_jitter,0.05508165786177118,0.019442453620217525,0
fixed_late_jobs_40,i6_r4_s0.5,duration_jitter,0.05510422972324464,0.018081628930914546,0
fixed_machine_40,i6_r4_s0.5,duration_jitter,0.05567184615550697,0.025843916811804174,0
fixed_machine_40,i6_r4_s1,duration_jitter,0.0565525691365019,0.025843916811804174,0
fixed_critical_40,i6_r4_s1,duration_jitter,0.05799023096286235,0.021853983960378742,0
fixed_machine_40,i8_r2_s0.5,duration_jitter,0.05905740257465648,0.023187258211186636,0
fixed_late_jobs_40,i8_r2_s0.5,duration_jitter,0.062153894833831484,0.02767239253402383,0
fixed_delta_40,i8_r2_s0.5,duration_jitter,0.06227817653187279,0.009306075738660007,1
fixed_outage_window_40,i8_r2_s0.5,duration_jitter,0.06290857814622508,0.02285010249533762,0
fixed_delta_expand_40,i8_r2_s0.5,duration_jitter,0.0629714721666868,0.02285010249533762,0
fixed_critical_block_40,i8_r2_s0.5,duration_jitter,0.06352150949722124,0.027422576203613797,0
fixed_bottleneck_40,i6_r4_s1,duration_jitter,0.06456457961470884,0.03274629706693793,0
fixed_bottleneck_40,i6_r4_s0.5,duration_jitter,0.0646402381843586,0.03274629706693793,0
fixed_critical_40,i6_r4_s0.5,duration_jitter,0.06559408349433803,0.030084436635275862,0
fixed_critical_block_40,i8_r2_s0.5,outage,0.03017761369463028,0.012228260869565218,0
fixed_random_40,i6_r4_s1,outage,0.034014607450424804,0.008152173913043478,0
fixed_late_jobs_40,i8_r2_s0.5,outage,0.035570626100643904,0.01358695652173913,0
fixed_random_40,i6_r4_s0.5,outage,0.035896507229351664,0.024456521739130436,0
fixed_machine_40,i6_r4_s1,outage,0.036134991878980546,0.020380434782608696,0
cpsat_warm,full,outage,0.036427953587929586,0.020380434782608696,0
