instance,delta_kind,num_ops,round_index,arm,objective_before,objective_after,improved,elapsed,round_time,reward
1,duration_jitter,225,41,critical_40,699,699,False,9.495778935000999,0.027238220005529,0.0
1,duration_jitter,225,42,delta_40,699,699,False,9.52426120499149,0.02848226999049075,0.0
1,duration_jitter,225,43,delta_40,699,699,False,9.550052100006724,0.025790895015234128,0.0
1,duration_jitter,225,44,delta_40,699,699,False,9.578166106017306,0.02811400601058267,0.0
1,duration_jitter,225,45,delta_40,699,699,False,9.606233794038417,0.02806768802111037,0.0
1,duration_jitter,225,46,critical_40,699,699,False,9.635046341019915,0.0288125469814986,0.0
1,duration_jitter,225,47,delta_40,699,699,False,9.663389693014324,0.028343351994408295,0.0
1,duration_jitter,225,48,delta_40,699,699,False,9.6911885169975,0.02779882398317568,0.0
1,duration_jitter,225,49,critical_40,699,699,False,9.71831128001213,0.027122763014631346,0.0
1,duration_jitter,225,50,critical_40,699,699,False,9.74611272502807,0.027801445015938953,0.0
1,duration_jitter,225,51,critical_40,699,699,False,9.77430488402024,0.028192158992169425,0.0
1,duration_jitter,225,52,random_40,699,699,False,9.801804281014483,0.027499396994244307,0.0
1,duration_jitter,225,53,random_40,699,699,False,9.82881104000262,0.027006758988136426,0.0
1,duration_jitter,225,54,random_40,699,699,False,9.857297093985835,0.028486053983215243,0.0
1,duration_jitter,225,55,delta_40,699,699,False,9.884471699973801,0.02717460598796606,0.0
1,duration_jitter,225,56,critical_40,699,699,False,9.91215573597583,0.027684036002028733,0.0
1,duration_jitter,225,57,random_40,699,699,False,9.94049704799545,0.02834131201962009,0.0
1,duration_jitter,225,58,delta_40,699,699,False,9.9673791359819,0.026882087986450642,0.0
2,arrival,240,0,delta_25,712,711,True,8.043498461018316,0.03975902701495215,25.15152092690625
2,arrival,240,1,random_40,711,711,False,8.074406069004908,0.030907607986591756,0.0
2,arrival,240,2,delta_40,711,711,False,8.106440089002717,0.03203401999780908,0.0
2,arrival,240,3,delta_40,711,711,False,8.139025554992259,0.03258546598954126,0.0
2,arrival,240,4,delta_40,711,711,False,8.170206014008727,0.031180459016468376,0.0
2,arrival,240,5,delta_40,711,711,False,8.197875083016697,0.027669069007970393,0.0
2,arrival,240,6,random_40,711,711,False,8.232095646002563,0.0342205629858654,0.0
2,arrival,240,7,delta_40,711,711,False,8.263969218009152,0.0318735720065888,0.0
2,arrival,240,8,delta_40,711,711,False,8.294122266001068,0.030153047991916537,0.0
2,arrival,240,9,delta_40,711,711,False,8.324312170007033,0.030189904005965218,0.0
2,arrival,240,10,delta_40,711,711,False,8.356832371006021,0.032520200998988,0.0
2,arrival,240,11,delta_40,711,711,False,8.387391550990287,0.03055917998426594,0.0
2,arrival,240,12,delta_40,711,711,False,8.42226231697714,0.03487076598685235,0.0
2,arrival,240,13,random_40,711,711,False,8.45580406897352,0.03354175199638121,0.0
