seed,instance,delta_kind,method,value,initial_value,proven_optimal,best_known,final_gap,primal_integral
5,4,value_jitter,cplex_boot_cold,422830390,421722873.0,True,422842620,2.892329065598922e-05,7.551814882569133e-05
6,0,base,cpsat_cold,423542799,,True,423542799,0.0,0.03225567980995393
6,0,base,boot_cold,423542799,,True,423542799,0.0,0.032060162921728426
6,0,base,gurobi_cold,423530183,,True,423542799,2.978683625311736e-05,0.00019846781367230732
6,0,base,gurobi_boot_cold,423530183,,True,423542799,2.978683625311736e-05,0.0001867912918086002
6,0,base,cplex_cold,423503024,,True,423542799,9.391022605958648e-05,0.0005979973319428789
6,0,base,cplex_boot_cold,423503024,,True,423542799,9.391022605958648e-05,0.0005752312789690276
6,1,capacity,cpsat_cold,432364230,,False,432364230,0.0,0.032006461619463786
6,1,capacity,boot_cold,432364230,432027443.0,False,432364230,0.0,8.476502095830503e-05
6,1,capacity,gurobi_cold,432364140,,True,432364230,2.081578302626931e-07,0.00032897302459421944
6,1,capacity,gurobi_boot_cold,432364140,432018938.0,True,432364230,2.081578302626931e-07,5.98002915125172e-05
6,1,capacity,cplex_cold,432362389,,True,432364230,4.257984061262422e-06,0.0005016975027767776
6,1,capacity,cplex_boot_cold,432362389,432018938.0,True,432364230,4.257984061262422e-06,5.293530351022263e-05
6,2,value_jitter,cpsat_cold,433475781,,True,433475781,0.0,0.016764934742395605
6,2,value_jitter,boot_cold,433475781,431835774.0,True,433475781,0.0,0.00012599600931248917
6,2,value_jitter,gurobi_cold,433474363,,True,433475781,3.271232355193565e-06,0.00016915998611921284
6,2,value_jitter,gurobi_boot_cold,433474363,431650980.0,True,433475781,3.271232355193565e-06,5.5162072396716624e-05
6,2,value_jitter,cplex_cold,433464188,,True,433475781,2.674428539757334e-05,0.0005416090207005852
6,2,value_jitter,cplex_boot_cold,433464188,431833933.0,True,433475781,2.674428539757334e-05,7.215849915567667e-05
6,3,value_jitter,cpsat_cold,434506821,,True,434506821,0.0,0.01850404306299939
6,3,value_jitter,boot_cold,434506821,434012870.0,True,434506821,0.0,8.237240584337611e-05
6,3,value_jitter,gurobi_cold,434506726,,True,434506821,2.1863868507601634e-07,0.0001739395336701072
6,3,value_jitter,gurobi_boot_cold,434506726,434011452.0,True,434506821,2.1863868507601634e-07,5.491507911410797e-05
6,3,value_jitter,cplex_cold,434500438,,True,434506821,1.4690218177265393e-05,0.0005639106537585248
6,3,value_jitter,cplex_boot_cold,434500438,434001277.0,True,434506821,1.4690218177265393e-05,6.593660439590031e-05
6,4,arrival,cpsat_cold,441797997,,True,441797997,0.0,0.020458311019232105
6,4,arrival,boot_cold,441797997,434506821.0,True,441797997,0.0,0.0004083925847207231
6,4,arrival,gurobi_cold,441794453,,True,441797997,8.021765657756026e-06,0.0001971081052475985
6,4,arrival,gurobi_boot_cold,441794453,434506726.0,True,441797997,8.021765657756026e-06,7.133053053639815e-05
6,4,arrival,cplex_cold,441796767,,True,441797997,2.784077810112842e-06,0.0006978086987685678
6,4,arrival,cplex_boot_cold,441796767,435001695.0,True,441797997,2.784077810112842e-06,6.272816515020623e-05
